faq_no,subject,question,answer,note,date,up_check,print_check,カテゴリ
5,NORTiフックルーチンの組込み時に「…未定義の”Ros_nowID”を参照しています」とエラーが出る,"NORTiフック・ルーチンの組み込み設定で、ctex_norti.cをリンクした時にリンカから「ctex_norti.cファイル内で未定義の”Ros_nowID”を参照しています」というエラーが表示されました。
このエラーを解消する方法を教えてください。",NORTiのカーネル・ソースのフォルダに”n4hook.c”というファイルがありますので、このファイルをビルド対象に組み入れてください。,2022/10/07：FAQ検索リニューアルに伴い内容見直しで非公開に変更（真鍋）。,2022/10/24 14:13:28,False,False,
11,標準対応していないパラレルNORフラッシュメモリに書き込みたい,"CSIDEのフラッシュメモリの選択一覧の中に含まれていない外付けのパラレルNORフラッシュメモリに書き込みを行うことはできますか。

フラッシュ・メモリ",CSIDEがサポートしている書き込み方式を採用しているパラレルNORフラッシュメモリであれば、デバイスの仕様に合わせたパラメータ定義を追加することで、書き込みできるようになります。設定方法などは、CSIDEヘルプをご参照ください。,,2023/05/10 13:36:37,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
12,デバッガでタイマ割り込み１回の処理時間を測定できますか,"定期的に起動されるタイマ割り込みの1回の処理時間を測定したいのですが測定可能でしょうか。

ルネサス、SuperH、SH","SH4系のCPUであれば、以下の方法で測定できます。
１．表示メニュー &gt; [測定]で以下の設定を行います。
　・チャンネル1
　　・定項目：[経過時間]
　　・測定単位：[CPU動作クロックとバス・クロック比の逆数でカウント]
　　・測定条件：[CPUチャネル A -&gt; CPUチャネル B]
　・チャンネル2
　　・測定項目：[CPUチャネル Aマッチ]
２．設定メニュー &gt; [CPUブレーク]で以下の設定を行います。
　・チャネルA
　　・アドレスを割込み処理ルーチンの先頭アドレスに設定
　　・ステータス：[命令実行前]
　　・ASIDのチェックを外す
　・チャンネルB
　　・アドレスを割込み処理ルーチンの終了アドレスに設定
　　・ステータス：[命令実行前]
　　・ASIDのチェックを外す
上記設定後、プログラムを実行してブレークすると、割り込みの先頭アドレスから終了アドレスの実行経過時間がサイクル数として測定できます。これを、T=C*B/24（CSIDEヘルプの「H-UDIパフォーマンス測定の設定 (SH-4のみ)」ページの[測定単位]の表中の「CPU動作クロックとバス・クロック比の逆数でカウント」）にあてはめると、割り込み処理のトータル時間が算出できます。
このトータル時間を、割り込み処理の先頭アドレスを通過した回数（CPUチャネル Aマッチ回数）で割ると、1回の割込み処理時間を求めることができます。
　　　時間（T）=274215400サイクル（C）* 30ns（B）/ 24
　　　時間（T）=342m769u250n
　　　1回のA-&gt;B間の実行時間 = T / 163251回",,2023/01/10 9:46:54,True,True,JTAGエミュレータ(SH・RX・H8S系)
15,コード・ウィンドウのCソース表示や変数ウィンドウの変数表示が正常に表示されません,デバッグ情報付きのオブジェクト・ファイルをダウンロードしてプログラムを実行させているのですが、コード・ウィンドウのCソース表示や変数ウィンドウの変数表示が正常に行われません。何か設定があるのでしょうか。,"プログラムコードとデバッグ情報が一致していないことが考えられます。プログラムコードは既にフラッシュメモリに書き込まれているためデバッグ情報だけをダウンロードしている場合や、ソースファイル参照先のパスを設定している場合、その設定に誤りがないか確認してください。
また、ルネサス系CPUでインラインアセンブラを使用していて、コンパイル時にCソース・ファイルをアセンブラ・ソースに変換する設定となっている場合、アセンブラ・ソースに変換されることでCソース・ファイルに対するデバッグ情報が出力されなくなり、表示できなくなります。
この場合、デバッグ時だけでもアセンブラ・ソースに変換しないように、コンパイラの設定を変更してください。",,2022/11/21 11:02:22,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
17,C++のクラス・メンバのスタティック変数を見ることはできますか,"C++のクラス内に宣言してあるスタティック変数は参照可能でしょうか。
可能であればその方法を教えてください。","プログラム・カウンタがどのスコープにあっても、以下のようにスコープ解決演算子を使用することで参照することができます。
インスペクト機能やウォッチ機能などを使って、以下の書式で変数の値を参照してください。
　[書式]　クラス名::変数名
　[例]　　MyClass::static_var1",,2022/11/21 11:01:12,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
Linuxアプリケーション・デバッガ(C-Shark)"
18,インライン関数内でブレーク・ポイントを設定したり変数を参照することはできますか,インライン関数を使用している場合、その関数内でブレーク・ポイントを設定したり変数を参照することは可能でしょうか。,"インライン関数は、実体がどこに展開されるか分からないので、ソース・レベルでのブレーク・ポイントや変数参照、ステップ実行などのデバッグ機能は使用できません。
対策としては、デバッグ段階ではインライン関数を無効にするようなコンパイル・オプションや#pragmaを指定して、通常の関数として扱うという方法があります。",,2022/11/21 11:03:24,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
19,RTOSデバッグライブラリの設定を行ったのにRTOSステータス・ウィンドウに何も表示されない,"RTOSデバッグライブラリの設定を行ったのですが、RTOSステータス・ウィンドウに何も表示されません。
RTOSステータス表示を行うには何か設定が必要なのでしょうか。","RTOSステータス表示は、デバッグ情報を元に表示を行います。このためデバッグ情報が正しく読み込めていない場合は、RTOSステータス表示を行うことができません。デバッグ情報が出力されるように設定されているか確認してください。
また、以下の点についてもご確認ください。
・コンパイル時にCソースを一旦アセンブラで出力してアセンブルを行う設定となっている場合、そのソースファイルのデバッグ情報は出力されません。この場合は、直接オブジェクトを出力するように設定してください。
・RTOSステータス表示を行う場合は、カーネルの初期化が完了してからステータス表示を有効にする必要があります。起動直後に表示しようとすると、カーネルの初期化が行われていないためRTOSの各テーブルが不安定な状態なので、CSIDEが不定値をアクセスしてプログラムが暴走してしまう可能性があります。RTOSステータス表示は、必ずカーネルの初期化が完了してから表示するようにしてください。",,2022/11/21 11:07:15,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)"
37,ルネサス製コンパイラでビルドしたオブジェクトをロードしたらコード・ウィンドウにソースが表示されない,"ルネサス製コンパイラを使用してコンパイルしていますが、オブジェクトをロードしてもコード・ウィンドウにソースが表示されません。ABSファイルの他にDBGというファイル出力されていますが、このファイルを読み込む必要はありますか。

ルネサス、SuperH、SH、H8S","DBGファイルが作成されているということは、デバッグ情報とプログラム・データが別々に出力される設定になっています。そのため、出力されたABSファイルにはデバッグ情報が含まれまず、オブジェクトをロードしましてもソースが表示されないということになります。

DBGファイルは単独で読み込むことはできないので、コンパイラのリンクオプションの出力設定から、デバッグ情報がオブジェクト・ファイル(ABSファイル)内に含まれるよう設定を行なってください。",,2022/11/21 11:12:33,True,True,JTAGエミュレータ(SH・RX・H8S系)
38,AUD機能の分岐トレースを使用する場合と使用しない場合で実行時間が異なる,"AUD機能の分岐トレースを使用する場合と、分岐トレースを使用せずに実行した場合で実行時間が異なるのですがなぜですか。

ルネサス、SuperH、SH、H8S","AUD接続で分岐トレースを使用する場合、トレースの取得モードとして「トレース優先モード」と「実行優先モード」を選択できますが、このモードがトレース優先モードとなっていることが考えられます。
トレース優先モードでは、分岐が連続した場合に分岐情報の格納を優先するため格納を行なう間、一時的にCPUが停止する場合があるため、単体での実行と実行時間が異なる場合があります。
対して実行優先モードでは、分岐が連続した場合にCPUサイクルが優先されるため、分岐情報が格納できず欠ける場合がありますが、CPUの実行は完全なリアルタイム実行となります。
なお、分岐トレースを使用しない場合は、分岐トレース機能自体を無効にしておいてください。",,2022/11/21 11:13:14,True,True,JTAGエミュレータ(SH・RX・H8S系)
42,ステップ実行を行なうと実行状態のまま戻ってこない,ステップ実行を行なうと実行状態となってしまい、ステップ実行コマンドが終了（停止）しません。この時、ターゲット・プログラムは実行状態になっているようです。,"ステップ実行は、現在のプログラムカウンタ位置から1行（1命令）実行を行いますが、関数（サブルーチン）呼び出しをステップ実行する場合は、その関数（サブルーチン）内には入らず、次の行にブレーク・ポイントを設定してプログラム実行を行います。
この関数（サブルーチン）を実行しているタイミングで、割り込み処理が多重に発生したり関数（サブルーチン）に不具合がると、ブレーク・ポイントを設定した場所まで到達しないため、実行状態のままとなってしまいます。
この状態になった場合でも、プログラムがハングアップしていなければ、ブレークすることは可能です。",,2022/11/21 11:18:03,True,True,"JTAGエミュレータ(ARM系)
JTAGエミュレータ(SH・RX・H8S系)
Linuxアプリケーション・デバッガ(C-Shark)"
